Instance, Temps1, Temps2, Temps3, Temps4, Temps5, Temps6, Temps7, Temps8, Temps9, Temps10
i01, 0m0.196s, 0m0.084s, 0m0.078s, 0m0.078s, 0m0.095s, 0m0.079s, 0m0.081s, 0m0.085s, 0m0.087s, 0m0.092s
i02, 0m0.083s, 0m0.090s, 0m0.099s, 0m0.095s, 0m0.075s, 0m0.084s, 0m0.089s, 0m0.096s, 0m0.086s, 0m0.078s
i03, 0m6.591s, 0m6.479s, 0m6.630s, 0m6.580s, 0m6.504s, 0m6.359s, 0m6.388s, 0m6.382s, 0m6.464s, 0m6.406s
i04, 0m1.391s, 0m1.407s, 0m1.365s, 0m1.362s, 0m1.436s, 0m1.408s, 0m1.392s, 0m1.398s, 0m1.391s, 0m1.378s
i05, 0m0.128s, 0m0.128s, 0m0.142s, 0m0.121s, 0m0.130s, 0m0.146s, 0m0.261s, 0m0.130s, 0m0.150s, 0m0.171s
i06, 0m0.095s, 0m0.077s, 0m0.085s, 0m0.105s, 0m0.096s, 0m0.068s, 0m0.072s, 0m0.082s, 0m0.114s, 0m0.092s
i07, 0m0.096s, 0m0.106s, 0m0.132s, 0m0.089s, 0m0.089s, 0m0.099s, 0m0.094s, 0m0.118s, 0m0.130s, 0m0.104s
i08, 0m0.082s, 0m0.106s, 0m0.113s, 0m0.071s, 0m0.070s, 0m0.078s, 0m0.088s, 0m0.078s, 0m0.083s, 0m0.097s
i09, 0m0.086s, 0m0.091s, 0m0.084s, 0m0.072s, 0m0.102s, 0m0.101s, 0m0.100s, 0m0.078s, 0m0.082s, 0m0.086s
i10, 0m0.099s, 0m0.119s, 0m0.086s, 0m0.101s, 0m0.084s, 0m0.070s, 0m0.103s, 0m0.082s, 0m0.072s, 0m0.091s
