Instance, Temps1, Temps2, Temps3, Temps4, Temps5, Temps6, Temps7, Temps8, Temps9, Temps10
i01, 0m0.113s, 0m0.102s, 0m0.075s, 0m0.079s, 0m0.093s, 0m0.080s, 0m0.095s, 0m0.087s, 0m0.106s, 0m0.082s
i02, 0m0.080s, 0m0.107s, 0m0.074s, 0m0.071s, 0m0.078s, 0m0.066s, 0m0.085s, 0m0.070s, 0m0.082s, 0m0.076s
i03, 0m46.847s, 0m46.812s, 0m46.301s, 0m46.913s, 0m46.716s, 0m46.848s, 0m46.824s, 0m47.876s, 0m46.435s, 0m46.434s
i04, 0m15.356s, 0m15.358s, 0m15.299s, 0m15.345s, 0m15.287s, 0m15.298s, 0m15.318s, 0m15.329s, 0m15.297s, 0m15.354s
i05, 0m0.498s, 0m0.514s, 0m0.519s, 0m0.499s, 0m0.496s, 0m0.507s, 0m0.511s, 0m0.493s, 0m0.513s, 0m0.496s
i06, 0m0.098s, 0m0.097s, 0m0.096s, 0m0.085s, 0m0.085s, 0m0.094s, 0m0.081s, 0m0.086s, 0m0.090s, 0m0.081s
i07, 0m0.197s, 0m0.203s, 0m0.198s, 0m0.167s, 0m0.186s, 0m0.208s, 0m0.183s, 0m0.184s, 0m0.180s, 0m0.190s
i08, 0m0.075s, 0m0.077s, 0m0.079s, 0m0.072s, 0m0.072s, 0m0.096s, 0m0.072s, 0m0.072s, 0m0.071s, 0m0.067s
i09, 0m0.085s, 0m0.067s, 0m0.072s, 0m0.081s, 0m0.076s, 0m0.101s, 0m0.083s, 0m0.104s, 0m0.092s, 0m0.072s
i10, 0m0.072s, 0m0.080s, 0m0.106s, 0m0.088s, 0m0.071s, 0m0.104s, 0m0.079s, 0m0.088s, 0m0.076s, 0m0.081s
