Instance, Temps1, Temps2, Temps3, Temps4, Temps5, Temps6, Temps7, Temps8, Temps9, Temps10
i01, 0m0.094s, 0m0.086s, 0m0.088s, 0m0.071s, 0m0.078s, 0m0.075s, 0m0.071s, 0m0.102s, 0m0.102s, 0m0.085s
i02, 0m0.073s, 0m0.081s, 0m0.082s, 0m0.092s, 0m0.073s, 0m0.076s, 0m0.080s, 0m0.090s, 0m0.112s, 0m0.077s
i03, 0m3.807s, 0m3.836s, 0m3.812s, 0m3.804s, 0m3.777s, 0m3.789s, 0m3.796s, 0m3.809s, 0m3.801s, 0m3.764s
i04, 0m0.179s, 0m0.201s, 0m0.195s, 0m0.193s, 0m0.211s, 0m0.187s, 0m0.200s, 0m0.196s, 0m0.197s, 0m0.180s
i05, 0m0.131s, 0m0.118s, 0m0.135s, 0m0.143s, 0m0.123s, 0m0.139s, 0m0.129s, 0m0.135s, 0m0.126s, 0m0.142s
i06, 0m0.071s, 0m0.069s, 0m0.088s, 0m0.070s, 0m0.073s, 0m0.077s, 0m0.069s, 0m0.070s, 0m0.070s, 0m0.068s
i07, 0m0.078s, 0m0.077s, 0m0.078s, 0m0.079s, 0m0.087s, 0m0.077s, 0m0.083s, 0m0.089s, 0m0.079s, 0m0.082s
i08, 0m0.093s, 0m0.068s, 0m0.072s, 0m0.073s, 0m0.068s, 0m0.070s, 0m0.068s, 0m0.074s, 0m0.068s, 0m0.093s
i09, 0m0.094s, 0m0.069s, 0m0.069s, 0m0.097s, 0m0.074s, 0m0.078s, 0m0.068s, 0m0.073s, 0m0.077s, 0m0.071s
i10, 0m0.065s, 0m0.071s, 0m0.070s, 0m0.081s, 0m0.075s, 0m0.070s, 0m0.070s, 0m0.070s, 0m0.094s, 0m0.069s
