Instance, Temps1, Temps2, Temps3, Temps4, Temps5, Temps6, Temps7, Temps8, Temps9, Temps10
i01, 0m0.086s, 0m0.068s, 0m0.075s, 0m0.067s, 0m0.067s, 0m0.067s, 0m0.068s, 0m0.074s, 0m0.078s, 0m0.068s
i02, 0m0.065s, 0m0.080s, 0m0.080s, 0m0.100s, 0m0.096s, 0m0.071s, 0m0.073s, 0m0.078s, 0m0.068s, 0m0.085s
i03, 0m3.332s, 0m3.339s, 0m3.313s, 0m3.295s, 0m3.354s, 0m3.394s, 0m3.333s, 0m3.494s, 0m3.341s, 0m3.359s
i04, 0m0.885s, 0m0.889s, 0m0.887s, 0m0.881s, 0m0.882s, 0m0.855s, 0m0.879s, 0m0.897s, 0m0.914s, 0m0.907s
i05, 0m0.121s, 0m0.109s, 0m0.144s, 0m0.159s, 0m0.127s, 0m0.133s, 0m0.110s, 0m0.127s, 0m0.132s, 0m0.140s
i06, 0m0.075s, 0m0.070s, 0m0.079s, 0m0.091s, 0m0.084s, 0m0.069s, 0m0.078s, 0m0.069s, 0m0.089s, 0m0.069s
i07, 0m0.084s, 0m0.104s, 0m0.104s, 0m0.081s, 0m0.081s, 0m0.081s, 0m0.084s, 0m0.084s, 0m0.111s, 0m0.083s
i08, 0m0.068s, 0m0.094s, 0m0.073s, 0m0.071s, 0m0.069s, 0m0.065s, 0m0.069s, 0m0.064s, 0m0.073s, 0m0.073s
i09, 0m0.067s, 0m0.098s, 0m0.067s, 0m0.067s, 0m0.069s, 0m0.068s, 0m0.070s, 0m0.070s, 0m0.097s, 0m0.068s
i10, 0m0.070s, 0m0.103s, 0m0.126s, 0m0.071s, 0m0.071s, 0m0.070s, 0m0.076s, 0m0.087s, 0m0.069s, 0m0.070s
